business_id,promoter_credit_score,commercial_assets_value,bank_asset_value,gst_monthly_turnover_inr,gst_filing_regularity_score,upi_txn_frequency_monthly,upi_txn_volume_inr_monthly,epfo_contribution_consistency_months,aa_linked_accounts_count,financial_health_score,financial_health_category
41,712,11200000,9000000,7647849.0652395645,66.1,15,776894.0,12.0,4,55.6,Fair
42,822,12100000,5200000,885902.0,94.4,52,1022522.0,,4,64.4,Good
43,540,1500000,800000,103710.0,13.1,1,81503.0,,4,41.8,Fair
44,342,1300000,800000,,,2,55633.0,,3,41.0,Fair
45,787,300000,5400000,491747.0,94.4,1,442583.0,,2,60.9,Good
46,331,6300000,10900000,698258.0,0.8,31,,0.0,5,34.9,Poor
47,679,6900000,4900000,345714.0,86.9,15,379871.0,,5,53.6,Fair
48,677,9100000,6500000,442227.0,48.1,29,806022.0,12.0,5,47.1,Fair
49,634,8600000,8200000,485442.0,81.2,40,895902.0,6.0,4,56.5,Fair
50,662,10500000,11700000,856222.0,68.6,19,1146624.0,11.0,4,56.4,Fair
51,502,1800000,10500000,,,14,993453.0,7.0,4,43.3,Fair
52,435,3500000,11300000,760754.0,25.9,24,571287.0,,4,36.0,Poor
53,689,100000,3400000,279827.0,68.6,19,510489.0,,3,54.0,Fair
54,657,14800000,8200000,821847.0,86.9,26,868883.0,3.0,4,65.4,Good
55,590,9300000,3400000,461845.0,33.9,43,425516.0,,3,47.7,Fair
56,818,5600000,6200000,608675.0,79.2,33,710262.0,11.0,2,60.7,Good
57,431,1500000,5200000,329345.0,44.3,3,473677.0,5.0,3,38.3,Poor
58,841,10300000,8700000,882611.0,86.2,49,1054465.0,11.0,4,66.2,Poor
59,421,9100000,4100000,678756.0,40.1,20,364423.0,8.0,4,41.7,Fair
60,797,4900000,4800000,488027.0,100.0,29,604647.0,10.0,3,53.7,Fair
61,478,16300000,11400000,802008.0,26.6,31,694954.0,,4,58.8,Fair
62,669,1900000,9300000,843814.0,79.3,29,1280761.0,12.0,3,42.0,Fair
63,365,8600000,4700000,6984586.141922874,0.0,20,1307738.0,0.0,4,47.8,Fair
64,586,5600000,2900000,255314.0,66.2,5,306347.0,,5,50.2,Fair
65,784,6900000,2800000,338437.0,90.6,49,482289.0,11.0,5,66.8,Good
66,364,6100000,2800000,364071.0,22.5,18,290374.0,,4,38.6,Poor
67,715,11900000,11900000,777990.0,63.4,50,1397647.0,,4,58.8,Fair
68,693,1700000,1400000,219491.0,41.3,9,201898.0,,4,46.6,Fair
69,777,3100000,5500000,,,5,445150.0,8.0,4,59.8,Fair
70,312,2800000,2400000,142314.0,0.0,12,192733.0,0.0,3,30.6,Poor
71,340,200000,600000,34152.0,4.1,1,24447.0,,3,23.9,Poor
72,386,9700000,4200000,,,8,263243.0,0.0,4,38.9,Poor
73,418,11700000,7600000,634947.0,26.8,22,453164.0,,4,41.2,Fair
74,735,9400000,5600000,544496.0,100.0,38,967774.0,,4,53.0,Fair
75,494,3800000,2000000,,,7,224086.0,2.0,4,43.8,Fair
76,671,2500000,1100000,,,1,137732.0,12.0,3,48.7,Fair
77,697,7800000,6300000,497275.0,72.4,22,738603.0,,3,59.0,Fair
78,801,8900000,11100000,836272.0,89.1,31,1034673.0,12.0,4,65.3,Good
79,576,5600000,9000000,,,9,724428.0,7.0,5,46.5,Fair
80,639,700000,900000,44058.0,44.9,3,37442.0,,3,33.7,Poor
81,470,2200000,2000000,274840.0,22.3,10,181130.0,2.0,2,36.7,Poor
82,826,500000,8600000,762642.0,57.7,38,649469.0,12.0,4,64.9,Good
83,363,11400000,6800000,1044303.0,14.6,33,1321734.0,0.0,5,52.4,Fair
84,613,300000,3300000,268072.0,52.8,10,228923.0,,4,52.0,Fair
85,713,5800000,3400000,235554.0,44.6,8,304454.0,,3,58.4,Fair
86,439,4700000,3600000,576474.0,34.3,36,598923.0,0.0,3,50.5,Fair
87,387,1200000,1600000,84501.0,30.8,3,46439.0,,2,37.4,Poor
88,402,13600000,10200000,845982.0,24.6,43,1046185.0,8.0,3,57.7,Fair
89,837,2600000,2900000,150586.0,90.4,5,,12.0,3,58.6,Fair
90,641,0,7600000,859587.0,72.8,32,945439.0,,2,63.6,Good
91,489,4300000,6000000,5006763.005788435,47.9,26,538865.0,0.0,3,42.7,Fair
92,540,3200000,12700000,814780.0,50.1,20,,6.0,4,46.9,Fair
93,844,3500000,4700000,298072.0,82.6,2,226487.0,,4,58.4,Fair
94,452,1100000,2100000,,,0,75168.0,,3,38.5,Poor
95,366,400000,1300000,504627.41656699893,35.8,1,31208.0,0.0,3,31.2,Poor
96,300,500000,400000,18694.0,0.0,3,,,3,31.5,Poor
97,470,4800000,7000000,578673.0,70.2,4,339252.0,8.0,3,45.5,Fair
98,861,8500000,7300000,817439.0,91.0,34,1030975.0,12.0,5,63.4,Good
99,562,15200000,7100000,10890881.907485371,49.0,61,1068230.0,0.0,5,55.2,Fair
100,463,4800000,4700000,361879.0,19.1,4,300771.0,5.0,4,50.3,Fair
101,478,100000,100000,,,1,22205.0,3.0,2,36.5,Poor
102,702,200000,200000,,,2,21155.0,,3,36.0,Poor
103,618,3600000,2400000,,,35,621637.0,,3,58.0,Fair
104,633,1700000,1900000,115430.0,41.1,3,142597.0,,2,49.4,Fair
105,331,10300000,8700000,546714.0,10.6,37,565822.0,0.0,4,44.6,Fair
106,841,300000,5100000,,,15,155839.0,12.0,4,62.3,Good
107,764,16500000,11600000,950992.0,95.2,47,1470570.0,,5,70.4,Good
108,591,2700000,1800000,214262.0,10.8,2,259861.0,3.0,2,42.3,Fair
109,719,7600000,10900000,9776227.967043296,100.0,22,1773859.0,11.0,5,55.9,Fair
110,317,300000,3600000,,,1,109079.0,,5,46.3,Fair
111,778,200000,100000,17428.0,72.0,1,19949.0,,2,44.5,Fair
112,302,3100000,5000000,638436.0,6.0,6,947843.0,,5,40.7,Fair
113,502,5600000,9800000,626279.0,41.1,12,1110378.0,,2,56.8,Fair
114,879,10600000,9800000,734195.0,91.5,43,868721.0,12.0,3,63.9,Good
115,437,5800000,8100000,753827.0,30.2,32,815104.0,2.0,4,44.9,Fair
116,797,6000000,3300000,275332.0,78.4,14,175378.0,5.0,3,62.9,Poor
117,456,4200000,7500000,491689.0,22.7,20,477682.0,2.0,4,45.7,Fair
118,647,600000,700000,39194.0,50.8,5,35105.0,,2,47.4,Fair
119,379,12200000,3600000,690702.0,0.0,24,1078133.0,2.0,4,44.4,Fair
120,717,2000000,5900000,826785.0,78.0,48,453651.0,7.0,4,54.8,Fair
121,545,200000,800000,64882.0,56.0,1,52805.0,,2,38.1,Poor
122,317,1000000,900000,54738.0,15.0,2,28827.0,0.0,2,37.8,Poor
123,570,6200000,5500000,819970.0,64.6,51,856401.0,,3,51.3,Fair
124,865,0,11300000,,,12,543351.0,,2,64.4,Good
125,719,10300000,10200000,648028.0,66.1,37,391593.0,5.0,4,53.9,Fair
126,821,100000,100000,14283.0,100.0,0,19283.0,,2,59.3,Fair
127,859,500000,200000,25857.0,75.6,4,15039.0,12.0,4,54.9,Fair
128,395,8000000,6300000,427343.0,3.1,26,349496.0,0.0,4,44.3,Fair
129,429,1300000,800000,,,1,41534.0,,3,41.6,Fair
130,861,600000,200000,,,3,,12.0,4,51.1,Fair
131,565,11900000,13400000,875670.0,65.9,54,1408539.0,8.0,5,62.8,Good
132,357,8600000,4900000,823187.0,21.5,36,718039.0,0.0,4,36.8,Poor
133,465,500000,2600000,124095.0,50.8,1,81028.0,6.0,4,35.4,Poor
134,479,9100000,9600000,619495.0,18.1,38,822208.0,,5,43.7,Fair
135,717,800000,1300000,104468.0,81.6,1,57546.0,10.0,3,39.8,Poor
136,425,800000,900000,127170.0,22.3,2,122402.0,,5,34.3,Poor
137,786,5900000,6100000,373066.0,100.0,15,395708.0,12.0,4,58.3,Fair
138,382,1300000,1100000,164102.0,15.0,5,126311.0,2.0,3,30.8,Poor
139,564,3100000,1800000,,,8,224819.0,6.0,4,39.9,Poor
140,501,200000,100000,11969.0,47.5,2,11827.0,,2,35.8,Poor
141,727,4100000,3300000,,,16,81991.0,12.0,3,53.2,Fair
142,894,6500000,2800000,316933.0,94.1,7,192081.0,,2,61.2,Good
143,829,1300000,5900000,,,7,300151.0,12.0,3,52.3,Fair
144,506,10000000,7200000,,,11,892482.0,5.0,3,47.1,Fair
145,802,16700000,9800000,840211.0,45.2,35,1168565.0,12.0,4,62.5,Good
146,543,900000,300000,,,1,33701.0,,2,41.3,Fair
147,772,900000,1600000,95781.0,95.9,13,167673.0,,3,49.1,Fair
148,572,100000,2400000,286265.0,54.9,3,156948.0,,3,45.0,Fair
149,709,900000,3800000,401764.0,38.9,2,621763.0,,3,46.0,Fair
150,402,2100000,1100000,155616.0,14.2,10,143024.0,,3,30.4,Poor
151,481,9500000,4200000,456532.0,0.0,42,361144.0,0.0,5,49.6,Fair
152,772,5500000,8400000,823611.0,100.0,46,810250.0,5.0,3,65.7,Good
153,306,1900000,3200000,526826.0,0.0,14,473377.0,,4,35.3,Poor
154,415,900000,1200000,96037.0,45.4,2,161227.0,3.0,4,36.5,Poor
155,548,4400000,4800000,868228.0,63.0,41,1208822.0,4.0,4,49.6,Fair
156,701,500000,4600000,383202.0,56.4,14,490491.0,,4,58.0,Fair
157,890,4300000,2100000,263747.0,85.1,15,179498.0,12.0,4,60.1,Good
158,364,18700000,8300000,1107244.0,20.3,73,1723795.0,1.0,5,51.5,Fair
159,704,0,600000,43147.0,57.9,6,49561.0,,2,50.4,Fair
160,318,5100000,4900000,,,3,491806.0,0.0,4,33.4,Poor
161,761,1800000,4200000,,,4,127093.0,12.0,3,55.1,Fair
162,693,1500000,6000000,374577.0,39.1,7,435022.0,,3,46.8,Fair
163,524,11100000,6100000,997932.0,1.6,46,1199509.0,0.0,5,58.3,Fair
164,681,1400000,2900000,,,4,161729.0,10.0,3,53.6,Fair
165,737,12600000,7300000,790253.0,68.7,23,727714.0,11.0,4,54.9,Fair
166,638,9500000,4500000,508930.0,51.7,31,935007.0,12.0,5,46.4,Fair
167,656,5000000,2800000,514238.0,77.3,32,626118.0,,2,55.1,Fair
168,540,3200000,1100000,153092.0,65.7,5,102556.0,6.0,3,54.5,Fair
169,341,300000,8200000,,,9,605046.0,0.0,4,44.5,Fair
170,371,6800000,3500000,393818.0,9.0,18,590846.0,0.0,5,39.8,Poor
171,886,500000,2300000,,,24,363241.0,,3,54.7,Fair
172,801,800000,1200000,,,1,,12.0,2,47.4,Fair
173,748,2400000,2600000,286119.0,84.8,11,218583.0,,4,58.3,Fair
174,376,5000000,5200000,660774.0,26.0,16,867190.0,3.0,5,47.6,Excellent
175,371,9500000,7400000,595669.0,27.4,13,542339.0,0.0,4,39.9,Poor
176,826,700000,1300000,138355.0,59.5,1,96971.0,7.0,3,53.3,Fair
177,873,1800000,11400000,808677.0,88.8,51,2029434.0,,3,64.6,Good
178,309,600000,2800000,193062.0,0.0,5,204318.0,0.0,2,42.2,Fair
179,869,7500000,6500000,479239.0,100.0,41,492892.0,10.0,5,63.8,Good
180,534,2900000,2800000,346617.0,52.2,11,277360.0,3.0,3,40.5,Fair
181,787,3600000,4200000,381655.0,100.0,23,363093.0,,3,51.5,Fair
182,566,700000,600000,61176.0,40.2,0,78511.0,,2,37.2,Poor
183,742,1300000,1700000,203892.0,70.8,1,247810.0,,2,59.4,Fair
184,824,10900000,9500000,700672.0,100.0,34,558727.0,12.0,4,66.9,Good
185,575,2100000,1400000,104465.0,56.0,4,87741.0,,3,42.9,Excellent
186,766,3900000,3000000,320328.0,100.0,15,192131.0,,4,40.9,Fair
187,888,900000,2200000,128801.0,100.0,2,134953.0,10.0,4,53.0,Fair
188,638,11000000,9200000,858005.0,40.8,44,268238.0,,4,60.1,Good
189,622,11600000,10500000,643304.0,34.8,68,396178.0,4.0,4,57.2,Fair
190,458,6200000,4000000,613800.0,2.4,30,708750.0,2.0,3,48.6,Fair
191,327,2300000,11200000,777654.0,19.4,29,289123.0,0.0,4,33.7,Poor
192,612,3400000,1700000,249557.0,78.5,6,519827.0,,4,49.6,Fair
193,682,1100000,700000,58458.0,100.0,1,45304.0,4.0,4,42.5,Fair
194,583,5800000,5200000,,,24,492029.0,,4,49.9,Fair
195,697,3600000,3600000,549929.0,92.8,34,886536.0,,4,51.2,Fair
196,306,11500000,9600000,903143.0,0.0,16,1185209.0,,4,50.0,Fair
197,669,600000,500000,26238.0,46.2,3,23658.0,,3,47.1,Fair
198,816,4200000,3400000,226423.0,100.0,6,174721.0,11.0,3,57.0,Fair
199,455,5800000,9400000,772699.0,37.3,34,565000.0,1.0,5,54.9,Fair
200,318,8100000,4300000,380552.0,7.9,8,330135.0,,2,36.9,Poor
201,355,8900000,14400000,959900.0,19.4,33,1126106.0,2.0,5,39.1,Poor
202,389,5600000,2200000,,,1,280347.0,0.0,3,46.0,Fair
203,888,300000,600000,35978.0,100.0,2,19929.0,12.0,4,55.4,Fair
204,352,5300000,10000000,631043.0,35.2,37,851599.0,,3,39.7,Poor
205,870,6700000,5600000,849955.0,100.0,42,709407.0,,5,64.1,Good
206,827,600000,3200000,209330.0,100.0,10,237582.0,,3,58.5,Good
207,768,10200000,13400000,979298.0,93.5,55,1380951.0,12.0,4,69.5,Good
208,707,10800000,5800000,658480.0,65.3,38,714580.0,11.0,4,54.6,Fair
209,355,4900000,6600000,696468.0,26.0,14,1323536.0,0.0,4,45.1,Fair
210,652,2100000,1900000,126658.0,39.0,7,115403.0,,5,49.3,Fair
211,665,900000,5400000,675799.0,85.3,1,1112148.0,4.0,3,49.1,Fair
212,420,1600000,2300000,135539.0,2.2,2,42613.0,,4,37.9,Poor
213,471,9400000,12500000,,,47,1213391.0,6.0,4,46.8,Fair
214,715,2800000,2800000,,,17,158503.0,,4,58.3,Fair
215,689,8200000,6800000,585957.0,80.5,37,806092.0,12.0,3,53.4,Fair
216,787,6100000,3800000,626788.0,86.9,33,809331.0,12.0,4,68.5,Good
217,819,4300000,1500000,,,6,162710.0,12.0,4,58.4,Fair
218,809,9500000,8700000,917273.0,98.9,55,1392097.0,9.0,4,57.0,Fair
219,744,3900000,3500000,572637.0,69.7,11,1091326.0,12.0,2,46.4,Fair
220,484,5500000,2100000,262705.0,50.7,12,132870.0,,4,43.0,Fair
221,673,1700000,1700000,251537.0,67.7,9,350955.0,,4,57.2,Fair
222,695,10600000,4900000,672128.0,78.7,49,804522.0,11.0,5,65.5,Good
223,473,4700000,3800000,2575622.119383479,15.7,28,245022.0,6.0,2,44.8,Fair
224,491,4000000,3500000,,,3,240409.0,0.0,3,41.1,Fair
225,733,800000,500000,,,2,55210.0,6.0,2,47.0,Fair
226,434,5800000,5500000,464162.0,41.6,13,837823.0,,5,44.8,Fair
227,777,4600000,6400000,505014.0,100.0,26,486299.0,12.0,5,64.5,Good
228,774,7000000,3600000,610706.0,70.8,23,927352.0,,2,63.6,Good
229,717,8600000,9100000,785104.0,94.8,44,923280.0,12.0,5,65.4,Good
230,503,400000,1200000,,,3,40876.0,,3,42.4,Fair
231,598,6600000,4400000,323132.0,33.2,15,282519.0,12.0,3,55.0,Fair
232,543,17500000,7700000,1043183.0,27.8,77,1289000.0,10.0,5,47.7,Fair
233,796,4200000,1900000,216801.0,64.8,9,153608.0,,3,52.1,Fair
234,386,16500000,6000000,834560.0,0.0,56,938590.0,0.0,5,42.5,Fair
235,632,500000,4900000,,,2,194553.0,,2,41.4,Fair
236,481,1100000,10200000,591715.0,30.5,20,876020.0,,5,44.8,Fair
237,770,0,600000,,,1,54791.0,8.0,2,41.2,Poor
238,667,1600000,4000000,,,1,180296.0,7.0,4,46.0,Fair
239,585,3100000,4900000,,,7,552777.0,4.0,4,48.3,Fair
240,479,5700000,2400000,290829.0,45.8,26,291587.0,4.0,3,35.7,Poor
241,851,16200000,12700000,949715.0,97.4,72,1486685.0,12.0,4,68.5,Good
242,378,12600000,5500000,635080.0,0.0,22,961691.0,,3,47.9,Fair
243,807,900000,5500000,,,10,524146.0,,5,51.5,Fair
244,831,12300000,7800000,,,63,663277.0,,5,70.0,Good
245,674,3200000,2400000,154447.0,51.0,15,162252.0,10.0,3,46.2,Fair
246,725,12800000,7500000,738623.0,73.6,41,1081338.0,3.0,5,62.4,Good
247,600,13200000,6500000,735285.0,38.6,21,1047035.0,,5,49.8,Fair
248,536,1700000,4800000,803652.0,36.4,35,1230052.0,2.0,3,52.1,Fair
249,477,1500000,11900000,781883.0,39.8,20,,4.0,5,44.6,Fair
250,560,1900000,1400000,147733.0,54.3,0,95461.0,,3,46.8,Fair
251,539,2100000,3100000,317122.0,28.2,16,262802.0,1.0,4,42.9,Fair
252,852,700000,3300000,,,0,309499.0,12.0,2,59.6,Fair
253,853,5700000,4900000,336249.0,100.0,7,293746.0,12.0,3,65.1,Good
254,729,700000,11400000,788810.0,86.4,25,507050.0,6.0,2,57.5,Fair
255,546,3200000,1500000,,,2,105341.0,,4,42.4,Fair
256,489,0,500000,,,2,35117.0,,2,35.4,Poor
257,869,16400000,10300000,1072746.0,100.0,54,1792288.0,12.0,4,66.5,Good
258,502,2200000,9900000,669158.0,13.0,3,818581.0,0.0,5,48.5,Fair
259,652,19000000,5400000,1061356.0,77.8,55,,,5,68.1,Good
260,789,100000,400000,20153.0,86.9,3,19476.0,,2,56.1,Fair
261,325,800000,3400000,195176.0,0.0,14,205277.0,0.0,3,40.9,Fair
262,716,8900000,4200000,666894.0,78.2,41,1444234.0,8.0,4,53.7,Excellent
263,523,4000000,8800000,716159.0,58.6,20,628204.0,,5,51.6,Fair
264,352,0,7000000,772362.0,20.9,4,479897.0,0.0,4,39.6,Poor
265,345,800000,4700000,292259.0,0.0,4,276176.0,,4,42.4,Fair
266,649,16100000,11300000,751900.0,76.9,49,,9.0,4,55.0,Fair
267,666,2300000,3400000,,,14,188962.0,,5,54.8,Fair
268,813,11900000,4800000,767864.0,96.0,22,1533165.0,,5,60.3,Good
269,599,7400000,7600000,,,11,574602.0,,3,51.0,Fair
270,678,5500000,5700000,352071.0,64.6,16,541837.0,11.0,4,48.7,Fair
271,513,2000000,5400000,,,11,306744.0,1.0,4,35.1,Poor
272,870,200000,10400000,752240.0,83.3,28,1197523.0,12.0,4,58.2,Fair
273,483,11400000,11800000,877122.0,69.7,35,699530.0,0.0,5,49.9,Fair
274,308,8800000,5300000,517562.0,0.0,15,907470.0,0.0,4,47.1,Fair
275,591,1000000,1400000,,,0,118724.0,,3,38.9,Poor
276,886,3700000,3600000,616699.0,100.0,35,,,4,60.9,Good
277,829,1600000,1700000,129347.0,100.0,8,86920.0,12.0,3,48.1,Fair
278,651,2800000,800000,,,4,96370.0,,2,54.7,Fair
279,733,3700000,2800000,157591.0,77.1,3,155656.0,11.0,3,50.8,Excellent
280,433,5400000,4600000,316995.0,33.3,15,615298.0,,3,40.7,Fair
281,713,1000000,1200000,660060.7881566932,70.5,1,110119.0,,4,47.1,Fair
282,403,8400000,6300000,632640.0,45.8,25,760209.0,1.0,3,34.3,Poor
283,405,2500000,3400000,,,6,155912.0,,3,31.3,Poor
284,516,6000000,8500000,563122.0,56.1,37,796855.0,,3,43.7,Fair
285,417,700000,800000,47147.0,5.8,4,54438.0,,2,38.2,Poor
286,468,1800000,4600000,344302.0,30.6,3,394449.0,,4,29.8,Poor
287,672,3600000,4100000,,,19,225904.0,3.0,2,54.2,Fair
288,530,5600000,6000000,341370.0,24.7,1,421383.0,4.0,4,48.6,Fair
289,824,6000000,4400000,257333.0,100.0,5,238047.0,12.0,4,49.5,Fair
290,549,10600000,7000000,688793.0,36.5,36,671676.0,5.0,4,50.7,Fair
291,450,6700000,4100000,358360.0,40.7,16,351335.0,0.0,4,50.0,Fair
292,431,5000000,3300000,484576.0,6.3,1,701390.0,0.0,5,38.2,Poor
293,312,1600000,5200000,275401.0,35.8,5,249472.0,,3,32.1,Poor
294,320,5600000,3100000,245615.0,0.0,2,231828.0,,5,51.3,Fair
295,433,4200000,12400000,802870.0,29.9,17,982780.0,3.0,4,48.0,Fair
296,431,500000,100000,,,2,16666.0,,2,33.0,Poor
297,516,1800000,6800000,777004.0,30.1,34,1237340.0,0.0,3,45.7,Fair
298,476,6800000,2900000,,,10,530798.0,,3,46.4,Fair
299,560,200000,1000000,,,3,45794.0,7.0,2,43.9,Fair
300,674,400000,6400000,690912.0,94.0,3,594388.0,,4,42.2,Fair
301,573,10000000,5900000,940234.0,50.6,66,1007823.0,0.0,4,45.1,Fair
302,331,2000000,2700000,252953.0,0.0,7,292184.0,,4,30.6,Poor
303,633,800000,2000000,154638.0,55.4,5,132007.0,11.0,4,45.8,Fair
304,877,7000000,3300000,429179.0,100.0,37,278783.0,12.0,5,63.5,Good
305,656,11200000,4900000,886596.0,54.2,43,1036269.0,10.0,5,50.6,Fair
306,782,12000000,4100000,693316.0,73.2,25,997327.0,12.0,3,61.5,Good
307,531,9500000,5800000,895736.0,39.0,28,1234303.0,,4,52.7,Fair
308,455,1400000,2100000,100863.0,8.6,1,163039.0,,4,34.4,Poor
309,452,16200000,6600000,999727.0,62.0,42,1159749.0,0.0,5,50.8,Fair
310,474,15000000,11500000,795890.0,22.9,40,742055.0,6.0,4,47.3,Fair
311,483,2400000,4500000,532908.0,49.6,8,509282.0,4.0,4,47.8,Fair
312,481,11400000,3300000,548601.0,38.1,32,439928.0,,5,47.8,Fair
313,859,1200000,3100000,173494.0,82.4,24,132779.0,12.0,3,51.1,Fair
314,696,9200000,6800000,506911.0,71.6,19,414416.0,,5,61.4,Good
315,778,7400000,11100000,981787.0,100.0,31,1385853.0,9.0,4,56.9,Fair
316,499,6500000,5700000,370854.0,34.1,2,283147.0,,3,37.1,Poor
317,888,4300000,3400000,197709.0,100.0,18,237806.0,,3,59.3,Fair
318,674,2700000,5300000,,,2,464656.0,,2,50.9,Fair
319,802,2400000,4300000,300341.0,100.0,11,176607.0,12.0,5,57.3,Fair
320,540,3400000,2800000,179899.0,36.3,9,107860.0,,2,38.7,Poor
321,726,6800000,8000000,513935.0,57.5,10,445632.0,11.0,4,62.0,Good
322,485,2700000,3900000,555150.0,24.0,2,484943.0,6.0,3,54.6,Fair
323,612,7000000,5000000,401957.0,60.6,24,,,4,51.4,Fair
324,879,17200000,12700000,1044287.0,100.0,53,1322665.0,12.0,4,73.8,Good
325,708,800000,4400000,440060.0,34.7,7,551989.0,7.0,3,42.4,Fair
326,850,5000000,3900000,205116.0,98.4,2,279080.0,6.0,3,57.2,Fair
327,516,0,4600000,314744.0,43.2,4,193533.0,,3,38.8,Poor
328,465,7500000,7400000,729243.0,26.5,45,687550.0,0.0,4,43.4,Fair
329,716,1400000,1500000,83756.0,98.4,6,78104.0,,3,46.4,Fair
330,404,100000,0,13068.0,28.5,1,11664.0,0.0,1,27.5,Poor
331,512,4000000,7000000,3581097.226367314,63.3,16,234543.0,,3,38.4,Poor
332,441,11400000,6100000,8463116.955713099,23.5,22,717413.0,,5,46.0,Fair
333,555,2400000,4200000,,,23,361319.0,,2,41.5,Fair
334,466,2100000,1900000,132511.0,61.1,1,106385.0,3.0,2,44.5,Fair
335,427,1800000,4700000,,,1,143697.0,2.0,3,41.5,Fair
336,593,2700000,4900000,454036.0,34.1,10,346205.0,,2,51.3,Fair
337,731,3400000,8400000,665817.0,73.2,26,469145.0,12.0,5,63.1,Good
338,451,3900000,3900000,322443.0,22.9,7,550372.0,,3,38.4,Poor
339,628,900000,4900000,574239.0,68.7,12,479569.0,12.0,4,52.4,Fair
340,704,2300000,2400000,,,3,206178.0,12.0,2,57.4,Fair
341,341,11800000,8500000,592925.0,0.0,32,438482.0,0.0,4,37.8,Poor
342,465,14900000,9900000,,,25,1120778.0,5.0,4,40.4,Fair
343,431,13800000,11500000,,,6,1164566.0,4.0,3,44.8,Fair
344,424,1100000,4400000,282051.0,50.3,2,194858.0,4.0,3,44.6,Fair
345,678,1200000,3100000,193982.0,59.4,13,133301.0,,4,44.7,Fair
346,381,3800000,5900000,,,4,280211.0,,4,37.4,Poor
347,449,1500000,3900000,639580.0,23.2,31,416518.0,2.0,5,40.6,Fair
348,768,12100000,7300000,608982.0,100.0,34,828418.0,11.0,4,60.6,Good
349,666,1200000,1400000,,,1,169457.0,,3,43.0,Fair
350,742,9300000,7000000,504067.0,79.4,28,357108.0,,4,50.8,Good
351,445,7600000,9100000,600400.0,26.1,19,739496.0,0.0,4,43.7,Fair
352,634,3800000,10800000,675980.0,52.8,18,897832.0,7.0,3,52.0,Fair
